date,TON/USDT
2025-10-19 00:00:00+00:00,2.21
2025-10-20 00:00:00+00:00,2.236
2025-10-21 00:00:00+00:00,2.139
2025-10-22 00:00:00+00:00,2.113
2025-10-23 00:00:00+00:00,2.126
2025-10-24 00:00:00+00:00,2.167
2025-10-25 00:00:00+00:00,2.148
2025-10-26 00:00:00+00:00,2.228
2025-10-27 00:00:00+00:00,2.235
2025-10-28 00:00:00+00:00,2.243
2025-10-29 00:00:00+00:00,2.213
2025-10-30 00:00:00+00:00,2.155
2025-10-31 00:00:00+00:00,2.284
2025-11-01 00:00:00+00:00,2.308
2025-11-02 00:00:00+00:00,2.31
2025-11-03 00:00:00+00:00,2.017
2025-11-04 00:00:00+00:00,1.902
2025-11-05 00:00:00+00:00,1.958
2025-11-06 00:00:00+00:00,1.958
2025-11-07 00:00:00+00:00,2.091
2025-11-08 00:00:00+00:00,2.094
2025-11-09 00:00:00+00:00,2.11
2025-11-10 00:00:00+00:00,2.14
2025-11-11 00:00:00+00:00,2.031
2025-11-12 00:00:00+00:00,2.01
2025-11-13 00:00:00+00:00,1.988
2025-11-14 00:00:00+00:00,1.819
2025-11-15 00:00:00+00:00,1.855
2025-11-16 00:00:00+00:00,1.823
2025-11-17 00:00:00+00:00,1.759
2025-11-18 00:00:00+00:00,1.795
2025-11-19 00:00:00+00:00,1.729
2025-11-20 00:00:00+00:00,1.565
2025-11-21 00:00:00+00:00,1.525
2025-11-22 00:00:00+00:00,1.534
2025-11-23 00:00:00+00:00,1.47
2025-11-24 00:00:00+00:00,1.549
2025-11-25 00:00:00+00:00,1.559
2025-11-26 00:00:00+00:00,1.608
2025-11-27 00:00:00+00:00,1.635
2025-11-28 00:00:00+00:00,1.583
2025-11-29 00:00:00+00:00,1.578
2025-11-30 00:00:00+00:00,1.593
2025-12-01 00:00:00+00:00,1.503
2025-12-02 00:00:00+00:00,1.58
2025-12-03 00:00:00+00:00,1.648
2025-12-04 00:00:00+00:00,1.592
2025-12-05 00:00:00+00:00,1.572
2025-12-06 00:00:00+00:00,1.598
2025-12-07 00:00:00+00:00,1.616
2025-12-08 00:00:00+00:00,1.619
2025-12-09 00:00:00+00:00,1.665
2025-12-10 00:00:00+00:00,1.657
2025-12-11 00:00:00+00:00,1.645
2025-12-12 00:00:00+00:00,1.61
2025-12-13 00:00:00+00:00,1.618
2025-12-14 00:00:00+00:00,1.546
2025-12-15 00:00:00+00:00,1.495
2025-12-16 00:00:00+00:00,1.548
2025-12-17 00:00:00+00:00,1.472
2025-12-18 00:00:00+00:00,1.437
2025-12-19 00:00:00+00:00,1.49
2025-12-20 00:00:00+00:00,1.488
2025-12-21 00:00:00+00:00,1.459
2025-12-22 00:00:00+00:00,1.468
2025-12-23 00:00:00+00:00,1.484
2025-12-24 00:00:00+00:00,1.494
2025-12-25 00:00:00+00:00,1.5
2025-12-26 00:00:00+00:00,1.551
2025-12-27 00:00:00+00:00,1.623
2025-12-28 00:00:00+00:00,1.653
2025-12-29 00:00:00+00:00,1.571
2025-12-30 00:00:00+00:00,1.625
2025-12-31 00:00:00+00:00,1.659
2026-01-01 00:00:00+00:00,1.694
2026-01-02 00:00:00+00:00,1.802
2026-01-03 00:00:00+00:00,1.85
2026-01-04 00:00:00+00:00,1.867
2026-01-05 00:00:00+00:00,1.895
2026-01-06 00:00:00+00:00,1.898
2026-01-07 00:00:00+00:00,1.872
2026-01-08 00:00:00+00:00,1.861
2026-01-09 00:00:00+00:00,1.745
2026-01-10 00:00:00+00:00,1.74
2026-01-11 00:00:00+00:00,1.75
2026-01-12 00:00:00+00:00,1.729
2026-01-13 00:00:00+00:00,1.8
2026-01-14 00:00:00+00:00,1.761
2026-01-15 00:00:00+00:00,1.689
2026-01-16 00:00:00+00:00,1.721
2026-01-17 00:00:00+00:00,1.737
2026-01-18 00:00:00+00:00,1.666
2026-01-19 00:00:00+00:00,1.587
2026-01-20 00:00:00+00:00,1.581
