date,XRP/USDT
2025-10-05 00:00:00+00:00,2.9697
2025-10-06 00:00:00+00:00,2.9883
2025-10-07 00:00:00+00:00,2.852
2025-10-08 00:00:00+00:00,2.8797
2025-10-09 00:00:00+00:00,2.8021
2025-10-10 00:00:00+00:00,2.3704
2025-10-11 00:00:00+00:00,2.3819
2025-10-12 00:00:00+00:00,2.5282
2025-10-13 00:00:00+00:00,2.6052
2025-10-14 00:00:00+00:00,2.5033
2025-10-15 00:00:00+00:00,2.4109
2025-10-16 00:00:00+00:00,2.328
2025-10-17 00:00:00+00:00,2.2936
2025-10-18 00:00:00+00:00,2.3596
2025-10-19 00:00:00+00:00,2.3908
2025-10-20 00:00:00+00:00,2.4948
2025-10-21 00:00:00+00:00,2.4222
2025-10-22 00:00:00+00:00,2.3647
2025-10-23 00:00:00+00:00,2.3947
2025-10-24 00:00:00+00:00,2.5103
2025-10-25 00:00:00+00:00,2.5959
2025-10-26 00:00:00+00:00,2.6461
2025-10-27 00:00:00+00:00,2.634
2025-10-28 00:00:00+00:00,2.6034
2025-10-29 00:00:00+00:00,2.5502
2025-10-30 00:00:00+00:00,2.4393
2025-10-31 00:00:00+00:00,2.5097
2025-11-01 00:00:00+00:00,2.5053
2025-11-02 00:00:00+00:00,2.5267
2025-11-03 00:00:00+00:00,2.3096
2025-11-04 00:00:00+00:00,2.2053
2025-11-05 00:00:00+00:00,2.3432
2025-11-06 00:00:00+00:00,2.213
2025-11-07 00:00:00+00:00,2.3154
2025-11-08 00:00:00+00:00,2.2863
2025-11-09 00:00:00+00:00,2.3662
2025-11-10 00:00:00+00:00,2.526
2025-11-11 00:00:00+00:00,2.3915
2025-11-12 00:00:00+00:00,2.3879
2025-11-13 00:00:00+00:00,2.3225
2025-11-14 00:00:00+00:00,2.2443
2025-11-15 00:00:00+00:00,2.2372
2025-11-16 00:00:00+00:00,2.2149
2025-11-17 00:00:00+00:00,2.1637
2025-11-18 00:00:00+00:00,2.2172
2025-11-19 00:00:00+00:00,2.1098
2025-11-20 00:00:00+00:00,1.9999
2025-11-21 00:00:00+00:00,1.9509
2025-11-22 00:00:00+00:00,1.9509
2025-11-23 00:00:00+00:00,2.0491
2025-11-24 00:00:00+00:00,2.2276
2025-11-25 00:00:00+00:00,2.2024
2025-11-26 00:00:00+00:00,2.2233
2025-11-27 00:00:00+00:00,2.1999
2025-11-28 00:00:00+00:00,2.1795
2025-11-29 00:00:00+00:00,2.2009
2025-11-30 00:00:00+00:00,2.155
2025-12-01 00:00:00+00:00,2.0297
2025-12-02 00:00:00+00:00,2.1532
2025-12-03 00:00:00+00:00,2.1976
2025-12-04 00:00:00+00:00,2.096
2025-12-05 00:00:00+00:00,2.0344
2025-12-06 00:00:00+00:00,2.0309
2025-12-07 00:00:00+00:00,2.0442
2025-12-08 00:00:00+00:00,2.0724
2025-12-09 00:00:00+00:00,2.1062
2025-12-10 00:00:00+00:00,2.0418
2025-12-11 00:00:00+00:00,2.034
2025-12-12 00:00:00+00:00,2.0074
2025-12-13 00:00:00+00:00,2.0227
2025-12-14 00:00:00+00:00,1.9784
2025-12-15 00:00:00+00:00,1.8981
2025-12-16 00:00:00+00:00,1.9297
2025-12-17 00:00:00+00:00,1.8627
2025-12-18 00:00:00+00:00,1.8076
2025-12-19 00:00:00+00:00,1.9092
2025-12-20 00:00:00+00:00,1.9335
2025-12-21 00:00:00+00:00,1.9223
2025-12-22 00:00:00+00:00,1.9043
2025-12-23 00:00:00+00:00,1.8734
2025-12-24 00:00:00+00:00,1.8628
2025-12-25 00:00:00+00:00,1.8326
2025-12-26 00:00:00+00:00,1.8437
2025-12-27 00:00:00+00:00,1.8735
2025-12-28 00:00:00+00:00,1.8654
2025-12-29 00:00:00+00:00,1.8508
2025-12-30 00:00:00+00:00,1.8776
2025-12-31 00:00:00+00:00,1.8423
2026-01-01 00:00:00+00:00,1.8799
2026-01-02 00:00:00+00:00,2.0069
2026-01-03 00:00:00+00:00,2.0182
2026-01-04 00:00:00+00:00,2.0909
2026-01-05 00:00:00+00:00,2.3478
2026-01-06 00:00:00+00:00,2.3042
2026-01-07 00:00:00+00:00,2.1657
2026-01-08 00:00:00+00:00,2.1232
2026-01-09 00:00:00+00:00,2.0958
2026-01-10 00:00:00+00:00,2.0907
2026-01-11 00:00:00+00:00,2.0745
2026-01-12 00:00:00+00:00,2.054
2026-01-13 00:00:00+00:00,2.1655
2026-01-14 00:00:00+00:00,2.1394
2026-01-15 00:00:00+00:00,2.0789
2026-01-16 00:00:00+00:00,2.0678
2026-01-17 00:00:00+00:00,2.0631
2026-01-18 00:00:00+00:00,1.9914
2026-01-19 00:00:00+00:00,1.986
2026-01-20 00:00:00+00:00,1.9876
