date,TRX/USDT
2025-07-10 00:00:00+00:00,0.2939
2025-07-11 00:00:00+00:00,0.3009
2025-07-12 00:00:00+00:00,0.3022
2025-07-13 00:00:00+00:00,0.3028
2025-07-14 00:00:00+00:00,0.3025
2025-07-15 00:00:00+00:00,0.3005
2025-07-16 00:00:00+00:00,0.3096
2025-07-17 00:00:00+00:00,0.3156
2025-07-18 00:00:00+00:00,0.3261
2025-07-19 00:00:00+00:00,0.3179
2025-07-20 00:00:00+00:00,0.314
2025-07-21 00:00:00+00:00,0.3143
2025-07-22 00:00:00+00:00,0.3158
2025-07-23 00:00:00+00:00,0.3095
2025-07-24 00:00:00+00:00,0.3139
2025-07-25 00:00:00+00:00,0.317
2025-07-26 00:00:00+00:00,0.3201
2025-07-27 00:00:00+00:00,0.3199
2025-07-28 00:00:00+00:00,0.3224
2025-07-29 00:00:00+00:00,0.3385
2025-07-30 00:00:00+00:00,0.3274
2025-07-31 00:00:00+00:00,0.325
2025-08-01 00:00:00+00:00,0.3234
2025-08-02 00:00:00+00:00,0.3221
2025-08-03 00:00:00+00:00,0.3275
2025-08-04 00:00:00+00:00,0.3328
2025-08-05 00:00:00+00:00,0.3338
2025-08-06 00:00:00+00:00,0.3373
2025-08-07 00:00:00+00:00,0.3384
2025-08-08 00:00:00+00:00,0.3378
2025-08-09 00:00:00+00:00,0.3352
2025-08-10 00:00:00+00:00,0.3383
2025-08-11 00:00:00+00:00,0.345
2025-08-12 00:00:00+00:00,0.3524
2025-08-13 00:00:00+00:00,0.3621
2025-08-14 00:00:00+00:00,0.3575
2025-08-15 00:00:00+00:00,0.3526
2025-08-16 00:00:00+00:00,0.3478
2025-08-17 00:00:00+00:00,0.3534
2025-08-18 00:00:00+00:00,0.3503
2025-08-19 00:00:00+00:00,0.3477
2025-08-20 00:00:00+00:00,0.3545
2025-08-21 00:00:00+00:00,0.3537
2025-08-22 00:00:00+00:00,0.3667
2025-08-23 00:00:00+00:00,0.3624
2025-08-24 00:00:00+00:00,0.3614
2025-08-25 00:00:00+00:00,0.3417
2025-08-26 00:00:00+00:00,0.3518
2025-08-27 00:00:00+00:00,0.3451
2025-08-28 00:00:00+00:00,0.3451
2025-08-29 00:00:00+00:00,0.3385
2025-08-30 00:00:00+00:00,0.339
2025-08-31 00:00:00+00:00,0.341
2025-09-01 00:00:00+00:00,0.3373
2025-09-02 00:00:00+00:00,0.3381
2025-09-03 00:00:00+00:00,0.3406
2025-09-04 00:00:00+00:00,0.3346
2025-09-05 00:00:00+00:00,0.3313
2025-09-06 00:00:00+00:00,0.3145
2025-09-07 00:00:00+00:00,0.3312
2025-09-08 00:00:00+00:00,0.3313
2025-09-09 00:00:00+00:00,0.3351
2025-09-10 00:00:00+00:00,0.3383
2025-09-11 00:00:00+00:00,0.3463
2025-09-12 00:00:00+00:00,0.3525
2025-09-13 00:00:00+00:00,0.3497
2025-09-14 00:00:00+00:00,0.3485
2025-09-15 00:00:00+00:00,0.3448
2025-09-16 00:00:00+00:00,0.3423
2025-09-17 00:00:00+00:00,0.3433
2025-09-18 00:00:00+00:00,0.3505
2025-09-19 00:00:00+00:00,0.3437
2025-09-20 00:00:00+00:00,0.3467
2025-09-21 00:00:00+00:00,0.3426
2025-09-22 00:00:00+00:00,0.3399
2025-09-23 00:00:00+00:00,0.336
2025-09-24 00:00:00+00:00,0.3382
2025-09-25 00:00:00+00:00,0.3319
2025-09-26 00:00:00+00:00,0.3383
2025-09-27 00:00:00+00:00,0.3366
2025-09-28 00:00:00+00:00,0.3357
2025-09-29 00:00:00+00:00,0.3368
2025-09-30 00:00:00+00:00,0.3336
2025-10-01 00:00:00+00:00,0.3415
2025-10-02 00:00:00+00:00,0.3426
2025-10-03 00:00:00+00:00,0.3419
2025-10-04 00:00:00+00:00,0.3404
2025-10-05 00:00:00+00:00,0.3413
2025-10-06 00:00:00+00:00,0.3461
2025-10-07 00:00:00+00:00,0.3379
2025-10-08 00:00:00+00:00,0.342
2025-10-09 00:00:00+00:00,0.3369
2025-10-10 00:00:00+00:00,0.3205
2025-10-11 00:00:00+00:00,0.3144
2025-10-12 00:00:00+00:00,0.3227
2025-10-13 00:00:00+00:00,0.3227
2025-10-14 00:00:00+00:00,0.3168
2025-10-15 00:00:00+00:00,0.3192
2025-10-16 00:00:00+00:00,0.316
2025-10-17 00:00:00+00:00,0.3089
2025-10-18 00:00:00+00:00,0.313
2025-10-19 00:00:00+00:00,0.3205
2025-10-20 00:00:00+00:00,0.3224
2025-10-21 00:00:00+00:00,0.3217
2025-10-22 00:00:00+00:00,0.3226
2025-10-23 00:00:00+00:00,0.3139
2025-10-24 00:00:00+00:00,0.3037
2025-10-25 00:00:00+00:00,0.2971
2025-10-26 00:00:00+00:00,0.3003
2025-10-27 00:00:00+00:00,0.2983
2025-10-28 00:00:00+00:00,0.2954
2025-10-29 00:00:00+00:00,0.2961
2025-10-30 00:00:00+00:00,0.2925
2025-10-31 00:00:00+00:00,0.2962
2025-11-01 00:00:00+00:00,0.2975
2025-11-02 00:00:00+00:00,0.2981
2025-11-03 00:00:00+00:00,0.2813
2025-11-04 00:00:00+00:00,0.2855
2025-11-05 00:00:00+00:00,0.2889
2025-11-06 00:00:00+00:00,0.2839
2025-11-07 00:00:00+00:00,0.2923
2025-11-08 00:00:00+00:00,0.2916
2025-11-09 00:00:00+00:00,0.2906
2025-11-10 00:00:00+00:00,0.2965
2025-11-11 00:00:00+00:00,0.2967
2025-11-12 00:00:00+00:00,0.2946
2025-11-13 00:00:00+00:00,0.2931
2025-11-14 00:00:00+00:00,0.2925
2025-11-15 00:00:00+00:00,0.2948
2025-11-16 00:00:00+00:00,0.2924
2025-11-17 00:00:00+00:00,0.2918
2025-11-18 00:00:00+00:00,0.2903
2025-11-19 00:00:00+00:00,0.2869
2025-11-20 00:00:00+00:00,0.2805
2025-11-21 00:00:00+00:00,0.2766
2025-11-22 00:00:00+00:00,0.2743
2025-11-23 00:00:00+00:00,0.275
2025-11-24 00:00:00+00:00,0.2748
