date,PEPE/USDT
2026-01-04 00:00:00+00:00,7.18e-06
2026-01-05 00:00:00+00:00,7e-06
2026-01-06 00:00:00+00:00,6.71e-06
2026-01-07 00:00:00+00:00,6.56e-06
2026-01-08 00:00:00+00:00,6.08e-06
2026-01-09 00:00:00+00:00,6.12e-06
2026-01-10 00:00:00+00:00,5.94e-06
2026-01-11 00:00:00+00:00,5.8e-06
2026-01-12 00:00:00+00:00,5.74e-06
2026-01-13 00:00:00+00:00,6.57e-06
2026-01-14 00:00:00+00:00,6.24e-06
2026-01-15 00:00:00+00:00,5.91e-06
2026-01-16 00:00:00+00:00,5.93e-06
2026-01-17 00:00:00+00:00,5.79e-06
2026-01-18 00:00:00+00:00,5.47e-06
2026-01-19 00:00:00+00:00,5.28e-06
2026-01-20 00:00:00+00:00,5.24e-06
