date,WLD/USDT
2025-09-27 00:00:00+00:00,1.275
2025-09-28 00:00:00+00:00,1.331
2025-09-29 00:00:00+00:00,1.279
2025-09-30 00:00:00+00:00,1.244
2025-10-01 00:00:00+00:00,1.317
2025-10-02 00:00:00+00:00,1.354
2025-10-03 00:00:00+00:00,1.339
2025-10-04 00:00:00+00:00,1.27
2025-10-05 00:00:00+00:00,1.254
2025-10-06 00:00:00+00:00,1.307
2025-10-07 00:00:00+00:00,1.193
2025-10-08 00:00:00+00:00,1.278
2025-10-09 00:00:00+00:00,1.198
2025-10-10 00:00:00+00:00,0.871
2025-10-11 00:00:00+00:00,0.916
2025-10-12 00:00:00+00:00,1.0
2025-10-13 00:00:00+00:00,1.009
2025-10-14 00:00:00+00:00,0.958
2025-10-15 00:00:00+00:00,0.933
2025-10-16 00:00:00+00:00,0.898
2025-10-17 00:00:00+00:00,0.872
2025-10-18 00:00:00+00:00,0.886
2025-10-19 00:00:00+00:00,0.911
2025-10-20 00:00:00+00:00,0.917
2025-10-21 00:00:00+00:00,0.888
2025-10-22 00:00:00+00:00,0.844
2025-10-23 00:00:00+00:00,0.863
2025-10-24 00:00:00+00:00,0.896
2025-10-25 00:00:00+00:00,0.894
2025-10-26 00:00:00+00:00,0.949
2025-10-27 00:00:00+00:00,0.904
2025-10-28 00:00:00+00:00,0.87
2025-10-29 00:00:00+00:00,0.86
2025-10-30 00:00:00+00:00,0.798
2025-10-31 00:00:00+00:00,0.799
2025-11-01 00:00:00+00:00,0.872
2025-11-02 00:00:00+00:00,0.842
2025-11-03 00:00:00+00:00,0.727
2025-11-04 00:00:00+00:00,0.703
2025-11-05 00:00:00+00:00,0.738
2025-11-06 00:00:00+00:00,0.705
2025-11-07 00:00:00+00:00,0.835
2025-11-08 00:00:00+00:00,0.817
2025-11-09 00:00:00+00:00,0.817
2025-11-10 00:00:00+00:00,0.831
2025-11-11 00:00:00+00:00,0.771
2025-11-12 00:00:00+00:00,0.761
2025-11-13 00:00:00+00:00,0.745
2025-11-14 00:00:00+00:00,0.705
2025-11-15 00:00:00+00:00,0.699
2025-11-16 00:00:00+00:00,0.674
2025-11-17 00:00:00+00:00,0.652
2025-11-18 00:00:00+00:00,0.687
2025-11-19 00:00:00+00:00,0.667
2025-11-20 00:00:00+00:00,0.654
2025-11-21 00:00:00+00:00,0.593
2025-11-22 00:00:00+00:00,0.605
2025-11-23 00:00:00+00:00,0.61
2025-11-24 00:00:00+00:00,0.637
2025-11-25 00:00:00+00:00,0.641
2025-11-26 00:00:00+00:00,0.657
2025-11-27 00:00:00+00:00,0.653
2025-11-28 00:00:00+00:00,0.649
2025-11-29 00:00:00+00:00,0.63
2025-11-30 00:00:00+00:00,0.62
2025-12-01 00:00:00+00:00,0.574
2025-12-02 00:00:00+00:00,0.628
2025-12-03 00:00:00+00:00,0.635
2025-12-04 00:00:00+00:00,0.619
2025-12-05 00:00:00+00:00,0.574
2025-12-06 00:00:00+00:00,0.578
2025-12-07 00:00:00+00:00,0.566
2025-12-08 00:00:00+00:00,0.614
2025-12-09 00:00:00+00:00,0.644
2025-12-10 00:00:00+00:00,0.616
2025-12-11 00:00:00+00:00,0.596
2025-12-12 00:00:00+00:00,0.58
2025-12-13 00:00:00+00:00,0.594
2025-12-14 00:00:00+00:00,0.562
2025-12-15 00:00:00+00:00,0.539
2025-12-16 00:00:00+00:00,0.528
2025-12-17 00:00:00+00:00,0.497
2025-12-18 00:00:00+00:00,0.4791
2025-12-19 00:00:00+00:00,0.5225
2025-12-20 00:00:00+00:00,0.5233
2025-12-21 00:00:00+00:00,0.5113
2025-12-22 00:00:00+00:00,0.5043
2025-12-23 00:00:00+00:00,0.4929
2025-12-24 00:00:00+00:00,0.4887
2025-12-25 00:00:00+00:00,0.4798
2025-12-26 00:00:00+00:00,0.4924
2025-12-27 00:00:00+00:00,0.5141
2025-12-28 00:00:00+00:00,0.5051
2025-12-29 00:00:00+00:00,0.4936
2025-12-30 00:00:00+00:00,0.4913
2025-12-31 00:00:00+00:00,0.4806
2026-01-01 00:00:00+00:00,0.5211
2026-01-02 00:00:00+00:00,0.5562
2026-01-03 00:00:00+00:00,0.5852
2026-01-04 00:00:00+00:00,0.601
2026-01-05 00:00:00+00:00,0.6367
2026-01-06 00:00:00+00:00,0.636
2026-01-07 00:00:00+00:00,0.5942
2026-01-08 00:00:00+00:00,0.5831
2026-01-09 00:00:00+00:00,0.5793
2026-01-10 00:00:00+00:00,0.5723
2026-01-11 00:00:00+00:00,0.5689
2026-01-12 00:00:00+00:00,0.5561
2026-01-13 00:00:00+00:00,0.6176
2026-01-14 00:00:00+00:00,0.5996
2026-01-15 00:00:00+00:00,0.5636
2026-01-16 00:00:00+00:00,0.5549
2026-01-17 00:00:00+00:00,0.5501
2026-01-18 00:00:00+00:00,0.5147
2026-01-19 00:00:00+00:00,0.5057
2026-01-20 00:00:00+00:00,0.5022
