date,PENDLE/USDT
2025-10-23 00:00:00+00:00,3.097
2025-10-24 00:00:00+00:00,3.22
2025-10-25 00:00:00+00:00,3.208
2025-10-26 00:00:00+00:00,3.451
2025-10-27 00:00:00+00:00,3.282
2025-10-28 00:00:00+00:00,3.223
2025-10-29 00:00:00+00:00,3.285
2025-10-30 00:00:00+00:00,3.051
2025-10-31 00:00:00+00:00,3.063
2025-11-01 00:00:00+00:00,3.128
2025-11-02 00:00:00+00:00,3.054
2025-11-03 00:00:00+00:00,2.72
2025-11-04 00:00:00+00:00,2.628
2025-11-05 00:00:00+00:00,2.725
2025-11-06 00:00:00+00:00,2.596
2025-11-07 00:00:00+00:00,2.777
2025-11-08 00:00:00+00:00,2.77
2025-11-09 00:00:00+00:00,2.802
2025-11-10 00:00:00+00:00,2.919
2025-11-11 00:00:00+00:00,2.672
2025-11-12 00:00:00+00:00,2.583
2025-11-13 00:00:00+00:00,2.504
2025-11-14 00:00:00+00:00,2.111
2025-11-15 00:00:00+00:00,2.328
2025-11-16 00:00:00+00:00,2.432
2025-11-17 00:00:00+00:00,2.274
2025-11-18 00:00:00+00:00,2.422
2025-11-19 00:00:00+00:00,2.39
2025-11-20 00:00:00+00:00,2.286
2025-11-21 00:00:00+00:00,2.144
2025-11-22 00:00:00+00:00,2.161
2025-11-23 00:00:00+00:00,2.23
2025-11-24 00:00:00+00:00,2.423
2025-11-25 00:00:00+00:00,2.473
2025-11-26 00:00:00+00:00,2.754
2025-11-27 00:00:00+00:00,2.747
2025-11-28 00:00:00+00:00,2.751
2025-11-29 00:00:00+00:00,2.671
2025-11-30 00:00:00+00:00,2.656
2025-12-01 00:00:00+00:00,2.471
2025-12-02 00:00:00+00:00,2.642
2025-12-03 00:00:00+00:00,2.744
2025-12-04 00:00:00+00:00,2.617
2025-12-05 00:00:00+00:00,2.42
2025-12-06 00:00:00+00:00,2.41
2025-12-07 00:00:00+00:00,2.365
2025-12-08 00:00:00+00:00,2.392
2025-12-09 00:00:00+00:00,2.353
2025-12-10 00:00:00+00:00,2.385
2025-12-11 00:00:00+00:00,2.296
2025-12-12 00:00:00+00:00,2.209
2025-12-13 00:00:00+00:00,2.18
2025-12-14 00:00:00+00:00,2.1
2025-12-15 00:00:00+00:00,2.026
2025-12-16 00:00:00+00:00,2.04
2025-12-17 00:00:00+00:00,1.831
2025-12-18 00:00:00+00:00,1.764
2025-12-19 00:00:00+00:00,1.824
2025-12-20 00:00:00+00:00,1.923
2025-12-21 00:00:00+00:00,1.887
2025-12-22 00:00:00+00:00,1.825
2025-12-23 00:00:00+00:00,1.69
2025-12-24 00:00:00+00:00,1.749
2025-12-25 00:00:00+00:00,1.713
2025-12-26 00:00:00+00:00,1.831
2025-12-27 00:00:00+00:00,1.899
2025-12-28 00:00:00+00:00,1.886
2025-12-29 00:00:00+00:00,1.866
2025-12-30 00:00:00+00:00,1.854
2025-12-31 00:00:00+00:00,1.883
2026-01-01 00:00:00+00:00,2.032
2026-01-02 00:00:00+00:00,2.186
2026-01-03 00:00:00+00:00,2.217
2026-01-04 00:00:00+00:00,2.205
2026-01-05 00:00:00+00:00,2.34
2026-01-06 00:00:00+00:00,2.333
2026-01-07 00:00:00+00:00,2.178
2026-01-08 00:00:00+00:00,2.107
2026-01-09 00:00:00+00:00,2.092
2026-01-10 00:00:00+00:00,2.066
2026-01-11 00:00:00+00:00,2.2
2026-01-12 00:00:00+00:00,2.115
2026-01-13 00:00:00+00:00,2.255
2026-01-14 00:00:00+00:00,2.245
2026-01-15 00:00:00+00:00,2.12
2026-01-16 00:00:00+00:00,2.125
2026-01-17 00:00:00+00:00,2.106
2026-01-18 00:00:00+00:00,1.976
2026-01-19 00:00:00+00:00,1.954
2026-01-20 00:00:00+00:00,1.956
