date,TIA/USDT
2025-11-03 00:00:00+00:00,0.809
2025-11-04 00:00:00+00:00,0.783
2025-11-05 00:00:00+00:00,0.82
2025-11-06 00:00:00+00:00,0.807
2025-11-07 00:00:00+00:00,1.06
2025-11-08 00:00:00+00:00,1.041
2025-11-09 00:00:00+00:00,1.021
2025-11-10 00:00:00+00:00,1.042
2025-11-11 00:00:00+00:00,0.952
2025-11-12 00:00:00+00:00,0.918
2025-11-13 00:00:00+00:00,0.892
2025-11-14 00:00:00+00:00,0.853
2025-11-15 00:00:00+00:00,0.859
2025-11-16 00:00:00+00:00,0.824
2025-11-17 00:00:00+00:00,0.788
2025-11-18 00:00:00+00:00,0.791
2025-11-19 00:00:00+00:00,0.773
2025-11-20 00:00:00+00:00,0.717
2025-11-21 00:00:00+00:00,0.656
2025-11-22 00:00:00+00:00,0.621
2025-11-23 00:00:00+00:00,0.61
2025-11-24 00:00:00+00:00,0.646
2025-11-25 00:00:00+00:00,0.633
2025-11-26 00:00:00+00:00,0.633
2025-11-27 00:00:00+00:00,0.65
2025-11-28 00:00:00+00:00,0.626
2025-11-29 00:00:00+00:00,0.619
2025-11-30 00:00:00+00:00,0.637
2025-12-01 00:00:00+00:00,0.565
2025-12-02 00:00:00+00:00,0.622
2025-12-03 00:00:00+00:00,0.65
2025-12-04 00:00:00+00:00,0.622
2025-12-05 00:00:00+00:00,0.575
2025-12-06 00:00:00+00:00,0.581
2025-12-07 00:00:00+00:00,0.557
2025-12-08 00:00:00+00:00,0.594
2025-12-09 00:00:00+00:00,0.636
2025-12-10 00:00:00+00:00,0.604
2025-12-11 00:00:00+00:00,0.589
2025-12-12 00:00:00+00:00,0.574
2025-12-13 00:00:00+00:00,0.58
2025-12-14 00:00:00+00:00,0.541
2025-12-15 00:00:00+00:00,0.504
2025-12-16 00:00:00+00:00,0.512
2025-12-17 00:00:00+00:00,0.482
2025-12-18 00:00:00+00:00,0.4473
2025-12-19 00:00:00+00:00,0.478
2025-12-20 00:00:00+00:00,0.4769
2025-12-21 00:00:00+00:00,0.4606
2025-12-22 00:00:00+00:00,0.4492
2025-12-23 00:00:00+00:00,0.4492
2025-12-24 00:00:00+00:00,0.449
2025-12-25 00:00:00+00:00,0.4384
2025-12-26 00:00:00+00:00,0.4558
2025-12-27 00:00:00+00:00,0.4851
2025-12-28 00:00:00+00:00,0.4705
2025-12-29 00:00:00+00:00,0.4549
2025-12-30 00:00:00+00:00,0.4591
2025-12-31 00:00:00+00:00,0.4559
2026-01-01 00:00:00+00:00,0.4981
2026-01-02 00:00:00+00:00,0.53
2026-01-03 00:00:00+00:00,0.5307
2026-01-04 00:00:00+00:00,0.574
2026-01-05 00:00:00+00:00,0.5886
2026-01-06 00:00:00+00:00,0.5904
2026-01-07 00:00:00+00:00,0.5647
2026-01-08 00:00:00+00:00,0.5477
2026-01-09 00:00:00+00:00,0.5535
2026-01-10 00:00:00+00:00,0.5473
2026-01-11 00:00:00+00:00,0.5471
2026-01-12 00:00:00+00:00,0.5297
2026-01-13 00:00:00+00:00,0.6075
2026-01-14 00:00:00+00:00,0.5912
2026-01-15 00:00:00+00:00,0.5606
2026-01-16 00:00:00+00:00,0.5723
2026-01-17 00:00:00+00:00,0.5775
2026-01-18 00:00:00+00:00,0.5307
2026-01-19 00:00:00+00:00,0.4967
2026-01-20 00:00:00+00:00,0.4931
