date,XVG/USDT
2025-09-16 00:00:00+00:00,0.005786
2025-09-17 00:00:00+00:00,0.005983
2025-09-18 00:00:00+00:00,0.006005
2025-09-19 00:00:00+00:00,0.005737
2025-09-20 00:00:00+00:00,0.005775
2025-09-21 00:00:00+00:00,0.005739
2025-09-22 00:00:00+00:00,0.005302
2025-09-23 00:00:00+00:00,0.005216
2025-09-24 00:00:00+00:00,0.005315
2025-09-25 00:00:00+00:00,0.004767
2025-09-26 00:00:00+00:00,0.004931
2025-09-27 00:00:00+00:00,0.004853
2025-09-28 00:00:00+00:00,0.004948
2025-09-29 00:00:00+00:00,0.004977
2025-09-30 00:00:00+00:00,0.00498
2025-10-01 00:00:00+00:00,0.006286
2025-10-02 00:00:00+00:00,0.009417
2025-10-03 00:00:00+00:00,0.008139
2025-10-04 00:00:00+00:00,0.008481
2025-10-05 00:00:00+00:00,0.007616
2025-10-06 00:00:00+00:00,0.007606
2025-10-07 00:00:00+00:00,0.007021
2025-10-08 00:00:00+00:00,0.007706
2025-10-09 00:00:00+00:00,0.007354
2025-10-10 00:00:00+00:00,0.005462
2025-10-11 00:00:00+00:00,0.005424
2025-10-12 00:00:00+00:00,0.006247
2025-10-13 00:00:00+00:00,0.006624
2025-10-14 00:00:00+00:00,0.006257
2025-10-15 00:00:00+00:00,0.005989
2025-10-16 00:00:00+00:00,0.005854
2025-10-17 00:00:00+00:00,0.005669
2025-10-18 00:00:00+00:00,0.006015
2025-10-19 00:00:00+00:00,0.006143
2025-10-20 00:00:00+00:00,0.006148
2025-10-21 00:00:00+00:00,0.005692
2025-10-22 00:00:00+00:00,0.005511
2025-10-23 00:00:00+00:00,0.005343
2025-10-24 00:00:00+00:00,0.005456
2025-10-25 00:00:00+00:00,0.005879
2025-10-26 00:00:00+00:00,0.006418
2025-10-27 00:00:00+00:00,0.006075
2025-10-28 00:00:00+00:00,0.005772
2025-10-29 00:00:00+00:00,0.00582
2025-10-30 00:00:00+00:00,0.00538
2025-10-31 00:00:00+00:00,0.006029
2025-11-01 00:00:00+00:00,0.006955
2025-11-02 00:00:00+00:00,0.007159
2025-11-03 00:00:00+00:00,0.007494
2025-11-04 00:00:00+00:00,0.007436
2025-11-05 00:00:00+00:00,0.007973
2025-11-06 00:00:00+00:00,0.007891
2025-11-07 00:00:00+00:00,0.008097
2025-11-08 00:00:00+00:00,0.007187
2025-11-09 00:00:00+00:00,0.007729
2025-11-10 00:00:00+00:00,0.007461
2025-11-11 00:00:00+00:00,0.006829
2025-11-12 00:00:00+00:00,0.006572
2025-11-13 00:00:00+00:00,0.006292
2025-11-14 00:00:00+00:00,0.006359
2025-11-15 00:00:00+00:00,0.007727
2025-11-16 00:00:00+00:00,0.00731
2025-11-17 00:00:00+00:00,0.008631
2025-11-18 00:00:00+00:00,0.008345
2025-11-19 00:00:00+00:00,0.007339
2025-11-20 00:00:00+00:00,0.006926
2025-11-21 00:00:00+00:00,0.006828
2025-11-22 00:00:00+00:00,0.007715
2025-11-23 00:00:00+00:00,0.007305
2025-11-24 00:00:00+00:00,0.007677
2025-11-25 00:00:00+00:00,0.007468
2025-11-26 00:00:00+00:00,0.007597
2025-11-27 00:00:00+00:00,0.00704
2025-11-28 00:00:00+00:00,0.006916
2025-11-29 00:00:00+00:00,0.006782
2025-11-30 00:00:00+00:00,0.006753
2025-12-01 00:00:00+00:00,0.006069
2025-12-02 00:00:00+00:00,0.006042
2025-12-03 00:00:00+00:00,0.006445
2025-12-04 00:00:00+00:00,0.00626
2025-12-05 00:00:00+00:00,0.006527
2025-12-06 00:00:00+00:00,0.006425
2025-12-07 00:00:00+00:00,0.006327
2025-12-08 00:00:00+00:00,0.006359
2025-12-09 00:00:00+00:00,0.006552
2025-12-10 00:00:00+00:00,0.006125
2025-12-11 00:00:00+00:00,0.006286
2025-12-12 00:00:00+00:00,0.00594
2025-12-13 00:00:00+00:00,0.005995
2025-12-14 00:00:00+00:00,0.005616
2025-12-15 00:00:00+00:00,0.005595
2025-12-16 00:00:00+00:00,0.00558
2025-12-17 00:00:00+00:00,0.005072
2025-12-18 00:00:00+00:00,0.004765
2025-12-19 00:00:00+00:00,0.004944
2025-12-20 00:00:00+00:00,0.00501
2025-12-21 00:00:00+00:00,0.004755
2025-12-22 00:00:00+00:00,0.004836
2025-12-23 00:00:00+00:00,0.004879
2025-12-24 00:00:00+00:00,0.00487
2025-12-25 00:00:00+00:00,0.004825
2025-12-26 00:00:00+00:00,0.004759
2025-12-27 00:00:00+00:00,0.005116
2025-12-28 00:00:00+00:00,0.005037
2025-12-29 00:00:00+00:00,0.005615
2025-12-30 00:00:00+00:00,0.006339
2025-12-31 00:00:00+00:00,0.005761
2026-01-01 00:00:00+00:00,0.005785
2026-01-02 00:00:00+00:00,0.005757
2026-01-03 00:00:00+00:00,0.006005
2026-01-04 00:00:00+00:00,0.006133
2026-01-05 00:00:00+00:00,0.006123
2026-01-06 00:00:00+00:00,0.006263
2026-01-07 00:00:00+00:00,0.005805
2026-01-08 00:00:00+00:00,0.005968
2026-01-09 00:00:00+00:00,0.005826
2026-01-10 00:00:00+00:00,0.005965
2026-01-11 00:00:00+00:00,0.005938
2026-01-12 00:00:00+00:00,0.006986
2026-01-13 00:00:00+00:00,0.007091
2026-01-14 00:00:00+00:00,0.007327
2026-01-15 00:00:00+00:00,0.006845
2026-01-16 00:00:00+00:00,0.007037
2026-01-17 00:00:00+00:00,0.007088
2026-01-18 00:00:00+00:00,0.007115
2026-01-19 00:00:00+00:00,0.007259
2026-01-20 00:00:00+00:00,0.007152
