date,ME/USDT
2025-11-20 00:00:00+00:00,0.369
2025-11-21 00:00:00+00:00,0.358
2025-11-22 00:00:00+00:00,0.367
2025-11-23 00:00:00+00:00,0.361
2025-11-24 00:00:00+00:00,0.376
2025-11-25 00:00:00+00:00,0.373
2025-11-26 00:00:00+00:00,0.373
2025-11-27 00:00:00+00:00,0.362
2025-11-28 00:00:00+00:00,0.341
2025-11-29 00:00:00+00:00,0.335
2025-11-30 00:00:00+00:00,0.329
2025-12-01 00:00:00+00:00,0.309
2025-12-02 00:00:00+00:00,0.335
2025-12-03 00:00:00+00:00,0.34
2025-12-04 00:00:00+00:00,0.333
2025-12-05 00:00:00+00:00,0.326
2025-12-06 00:00:00+00:00,0.327
2025-12-07 00:00:00+00:00,0.317
2025-12-08 00:00:00+00:00,0.316
2025-12-09 00:00:00+00:00,0.325
2025-12-10 00:00:00+00:00,0.299
2025-12-11 00:00:00+00:00,0.278
2025-12-12 00:00:00+00:00,0.267
2025-12-13 00:00:00+00:00,0.268
2025-12-14 00:00:00+00:00,0.254
2025-12-15 00:00:00+00:00,0.235
2025-12-16 00:00:00+00:00,0.232
2025-12-17 00:00:00+00:00,0.218
2025-12-18 00:00:00+00:00,0.2083
2025-12-19 00:00:00+00:00,0.2188
2025-12-20 00:00:00+00:00,0.2263
2025-12-21 00:00:00+00:00,0.2183
2025-12-22 00:00:00+00:00,0.2075
2025-12-23 00:00:00+00:00,0.2014
2025-12-24 00:00:00+00:00,0.202
2025-12-25 00:00:00+00:00,0.201
2025-12-26 00:00:00+00:00,0.2032
2025-12-27 00:00:00+00:00,0.2109
2025-12-28 00:00:00+00:00,0.2071
2025-12-29 00:00:00+00:00,0.2031
2025-12-30 00:00:00+00:00,0.204
2025-12-31 00:00:00+00:00,0.1983
2026-01-01 00:00:00+00:00,0.2072
2026-01-02 00:00:00+00:00,0.2145
2026-01-03 00:00:00+00:00,0.2152
2026-01-04 00:00:00+00:00,0.2266
2026-01-05 00:00:00+00:00,0.2282
2026-01-06 00:00:00+00:00,0.2322
2026-01-07 00:00:00+00:00,0.221
2026-01-08 00:00:00+00:00,0.2168
2026-01-09 00:00:00+00:00,0.2133
2026-01-10 00:00:00+00:00,0.2184
2026-01-11 00:00:00+00:00,0.2116
2026-01-12 00:00:00+00:00,0.202
2026-01-13 00:00:00+00:00,0.2166
2026-01-14 00:00:00+00:00,0.2303
2026-01-15 00:00:00+00:00,0.2221
2026-01-16 00:00:00+00:00,0.2236
2026-01-17 00:00:00+00:00,0.2316
2026-01-18 00:00:00+00:00,0.2835
2026-01-19 00:00:00+00:00,0.2508
2026-01-20 00:00:00+00:00,0.2431
