date,PENGU/USDT
2025-10-15 00:00:00+00:00,0.023207
2025-10-16 00:00:00+00:00,0.02208
2025-10-17 00:00:00+00:00,0.021182
2025-10-18 00:00:00+00:00,0.021468
2025-10-19 00:00:00+00:00,0.022251
2025-10-20 00:00:00+00:00,0.02241
2025-10-21 00:00:00+00:00,0.021285
2025-10-22 00:00:00+00:00,0.019942
2025-10-23 00:00:00+00:00,0.020478
2025-10-24 00:00:00+00:00,0.021165
2025-10-25 00:00:00+00:00,0.021373
2025-10-26 00:00:00+00:00,0.02232
2025-10-27 00:00:00+00:00,0.021403
2025-10-28 00:00:00+00:00,0.020563
2025-10-29 00:00:00+00:00,0.021154
2025-10-30 00:00:00+00:00,0.018585
2025-10-31 00:00:00+00:00,0.018131
2025-11-01 00:00:00+00:00,0.018174
2025-11-02 00:00:00+00:00,0.017785
2025-11-03 00:00:00+00:00,0.01549
2025-11-04 00:00:00+00:00,0.014365
2025-11-05 00:00:00+00:00,0.015318
2025-11-06 00:00:00+00:00,0.014468
2025-11-07 00:00:00+00:00,0.015745
2025-11-08 00:00:00+00:00,0.01481
2025-11-09 00:00:00+00:00,0.015276
2025-11-10 00:00:00+00:00,0.016308
2025-11-11 00:00:00+00:00,0.014678
2025-11-12 00:00:00+00:00,0.014323
2025-11-13 00:00:00+00:00,0.013584
2025-11-14 00:00:00+00:00,0.012885
2025-11-15 00:00:00+00:00,0.013136
2025-11-16 00:00:00+00:00,0.012486
2025-11-17 00:00:00+00:00,0.012031
2025-11-18 00:00:00+00:00,0.012354
2025-11-19 00:00:00+00:00,0.01207
2025-11-20 00:00:00+00:00,0.011489
2025-11-21 00:00:00+00:00,0.010505
2025-11-22 00:00:00+00:00,0.010208
2025-11-23 00:00:00+00:00,0.010345
2025-11-24 00:00:00+00:00,0.01127
2025-11-25 00:00:00+00:00,0.011359
2025-11-26 00:00:00+00:00,0.011629
2025-11-27 00:00:00+00:00,0.011313
2025-11-28 00:00:00+00:00,0.011192
2025-11-29 00:00:00+00:00,0.010825
2025-11-30 00:00:00+00:00,0.010731
2025-12-01 00:00:00+00:00,0.009768
2025-12-02 00:00:00+00:00,0.012245
2025-12-03 00:00:00+00:00,0.012002
2025-12-04 00:00:00+00:00,0.011659
2025-12-05 00:00:00+00:00,0.01065
2025-12-06 00:00:00+00:00,0.011102
2025-12-07 00:00:00+00:00,0.010988
2025-12-08 00:00:00+00:00,0.011451
2025-12-09 00:00:00+00:00,0.012663
2025-12-10 00:00:00+00:00,0.011751
2025-12-11 00:00:00+00:00,0.011227
2025-12-12 00:00:00+00:00,0.010911
2025-12-13 00:00:00+00:00,0.01132
2025-12-14 00:00:00+00:00,0.010398
2025-12-15 00:00:00+00:00,0.01026
2025-12-16 00:00:00+00:00,0.010126
2025-12-17 00:00:00+00:00,0.009422
2025-12-18 00:00:00+00:00,0.008657
2025-12-19 00:00:00+00:00,0.009437
2025-12-20 00:00:00+00:00,0.009309
2025-12-21 00:00:00+00:00,0.009065
2025-12-22 00:00:00+00:00,0.009131
2025-12-23 00:00:00+00:00,0.008794
2025-12-24 00:00:00+00:00,0.009227
2025-12-25 00:00:00+00:00,0.008825
2025-12-26 00:00:00+00:00,0.009021
2025-12-27 00:00:00+00:00,0.00934
2025-12-28 00:00:00+00:00,0.009313
2025-12-29 00:00:00+00:00,0.008907
2025-12-30 00:00:00+00:00,0.009011
2025-12-31 00:00:00+00:00,0.008676
2026-01-01 00:00:00+00:00,0.00948
2026-01-02 00:00:00+00:00,0.010861
2026-01-03 00:00:00+00:00,0.011491
2026-01-04 00:00:00+00:00,0.012582
2026-01-05 00:00:00+00:00,0.013091
2026-01-06 00:00:00+00:00,0.013323
2026-01-07 00:00:00+00:00,0.012028
2026-01-08 00:00:00+00:00,0.01197
2026-01-09 00:00:00+00:00,0.012099
2026-01-10 00:00:00+00:00,0.011886
2026-01-11 00:00:00+00:00,0.012055
2026-01-12 00:00:00+00:00,0.011793
2026-01-13 00:00:00+00:00,0.013338
2026-01-14 00:00:00+00:00,0.012824
2026-01-15 00:00:00+00:00,0.012079
2026-01-16 00:00:00+00:00,0.012278
2026-01-17 00:00:00+00:00,0.011821
2026-01-18 00:00:00+00:00,0.010704
2026-01-19 00:00:00+00:00,0.010371
2026-01-20 00:00:00+00:00,0.010349
