,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
52,bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,250.58,2404687861,53,5261629844,130953656.0,275.18,246.6,-22.482865797908744,-8.23356,-216339079.49119568,-8.25398,9597491.0,21000000.0,21000000.0,757.6,-66.92796,2024-03-07T18:45:36.466Z,30.83,712.70079,2023-05-14T08:57:53.732Z,,2026-01-19T09:24:55.657Z
53,internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.36,2396356890,54,2396358958,356556012.0,4.38,3.71,0.307426,7.57769,177058327.0,7.97812,547330289.1473062,547330761.6103721,,700.65,-99.37491,2021-05-10T16:05:53.653Z,2.23,96.26042,2025-10-10T21:26:36.019Z,,2026-01-19T09:24:48.284Z
54,okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,109.27,2293712228,55,2293712228,24700434.0,114.36,108.52,-4.8275875596063145,-4.23118,-102256105.21261406,-4.26784,21000000.0,21000000.0,21000000.0,255.5,-57.23595,2025-08-22T01:50:26.131Z,0.580608,18718.74667,2019-01-14T00:00:00.000Z,,2026-01-19T09:24:49.952Z
55,pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,5.2e-06,2186431224,56,2186431224,620113665.0,5.81e-06,5.16e-06,-6.07872818187e-07,-10.47497,-254891196.79422903,-10.4407,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-81.46428,2024-12-09T16:30:35.828Z,5.5142e-08,9321.47228,2023-04-18T02:14:41.591Z,,2026-01-19T09:24:50.592Z
56,falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.997127,2165575977,57,2165575977,526880.0,0.999216,0.996202,-0.000106948158023479,-0.01072,89068.0,0.00411,2171812780.945707,2171812780.945707,,1.075,-7.20478,2025-05-08T21:25:42.071Z,0.943422,5.69614,2025-07-08T10:16:34.749Z,,2026-01-19T09:24:46.886Z
57,near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.57,2014750015,58,2014750225,321649986.0,1.74,1.55,-0.1431937931221794,-8.37147,-184125811.7695582,-8.37363,1285527496.0,1285527630.0,,20.44,-92.32356,2022-01-16T22:09:45.873Z,0.526762,197.84206,2020-11-04T16:09:15.137Z,,2026-01-19T09:24:49.838Z
58,binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3209.62,1941266611,59,1941266611,53487691.0,3365.51,3189.32,-107.58322960075702,-3.24319,-65555015.68287611,-3.26661,604999.9999588211,604999.9999588211,,4955.78,-35.30104,2025-08-24T19:14:00.505Z,1394.32,129.95743,2025-04-09T01:32:41.942Z,,2026-01-19T09:24:55.670Z
59,jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,167.89,1936283877,60,1936283877,12655464.0,179.36,166.77,-10.882366967745838,-6.0872,-126706349.00851107,-6.14188,11534424.19652179,11534424.19652179,,339.52,-50.55777,2025-01-19T11:21:54.080Z,0.57898,28893.49647,2023-09-12T10:21:17.665Z,,2026-01-19T09:24:48.289Z
60,ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,11.88,1844009672,61,1844009672,105122334.0,12.81,11.6,-0.870148502568945,-6.82313,-134718545.8613956,-6.80834,155183423.7044994,155183423.7044994,210700000.0,167.09,-92.88056,2021-05-06T18:34:22.133Z,0.615038,1834.11584,2016-07-25T00:00:00.000Z,"{'times': 25.40616615636409, 'currency': 'usd', 'percentage': 2540.616615636409}",2026-01-19T09:24:47.123Z
61,pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4678.95,1793054777,62,1793054777,196163672.0,4688.84,4614.01,61.76,1.33756,23573011.0,1.3322,383237.779,383237.779,,4688.84,-0.21418,2026-01-18T23:32:27.731Z,1399.64,234.28557,2019-11-18T03:09:35.959Z,,2026-01-19T09:24:50.385Z
