date,XLM/USDT
2025-11-04 00:00:00+00:00,0.2695
2025-11-05 00:00:00+00:00,0.2802
2025-11-06 00:00:00+00:00,0.2697
2025-11-07 00:00:00+00:00,0.2916
2025-11-08 00:00:00+00:00,0.2833
2025-11-09 00:00:00+00:00,0.2858
2025-11-10 00:00:00+00:00,0.3005
2025-11-11 00:00:00+00:00,0.2818
2025-11-12 00:00:00+00:00,0.2777
2025-11-13 00:00:00+00:00,0.2684
2025-11-14 00:00:00+00:00,0.2595
2025-11-15 00:00:00+00:00,0.2596
2025-11-16 00:00:00+00:00,0.254
2025-11-17 00:00:00+00:00,0.2471
2025-11-18 00:00:00+00:00,0.256
2025-11-19 00:00:00+00:00,0.2466
2025-11-20 00:00:00+00:00,0.2369
2025-11-21 00:00:00+00:00,0.2318
2025-11-22 00:00:00+00:00,0.2301
2025-11-23 00:00:00+00:00,0.2473
2025-11-24 00:00:00+00:00,0.2547
2025-11-25 00:00:00+00:00,0.2523
2025-11-26 00:00:00+00:00,0.2586
2025-11-27 00:00:00+00:00,0.2557
2025-11-28 00:00:00+00:00,0.2533
2025-11-29 00:00:00+00:00,0.254
2025-11-30 00:00:00+00:00,0.248
2025-12-01 00:00:00+00:00,0.2339
2025-12-02 00:00:00+00:00,0.2547
2025-12-03 00:00:00+00:00,0.2579
2025-12-04 00:00:00+00:00,0.2519
2025-12-05 00:00:00+00:00,0.2399
2025-12-06 00:00:00+00:00,0.2394
2025-12-07 00:00:00+00:00,0.2373
2025-12-08 00:00:00+00:00,0.2408
2025-12-09 00:00:00+00:00,0.2531
2025-12-10 00:00:00+00:00,0.25
2025-12-11 00:00:00+00:00,0.2458
2025-12-12 00:00:00+00:00,0.2386
2025-12-13 00:00:00+00:00,0.2377
2025-12-14 00:00:00+00:00,0.2291
2025-12-15 00:00:00+00:00,0.2205
2025-12-16 00:00:00+00:00,0.2196
2025-12-17 00:00:00+00:00,0.2107
2025-12-18 00:00:00+00:00,0.2071
2025-12-19 00:00:00+00:00,0.2194
2025-12-20 00:00:00+00:00,0.2183
2025-12-21 00:00:00+00:00,0.2165
2025-12-22 00:00:00+00:00,0.2206
2025-12-23 00:00:00+00:00,0.2173
2025-12-24 00:00:00+00:00,0.2121
2025-12-25 00:00:00+00:00,0.21
2025-12-26 00:00:00+00:00,0.2136
2025-12-27 00:00:00+00:00,0.2209
2025-12-28 00:00:00+00:00,0.2203
2025-12-29 00:00:00+00:00,0.2161
2025-12-30 00:00:00+00:00,0.2107
2025-12-31 00:00:00+00:00,0.201
2026-01-01 00:00:00+00:00,0.2087
2026-01-02 00:00:00+00:00,0.2191
2026-01-03 00:00:00+00:00,0.2222
2026-01-04 00:00:00+00:00,0.233
2026-01-05 00:00:00+00:00,0.2526
2026-01-06 00:00:00+00:00,0.2438
2026-01-07 00:00:00+00:00,0.2342
2026-01-08 00:00:00+00:00,0.2302
2026-01-09 00:00:00+00:00,0.2284
2026-01-10 00:00:00+00:00,0.2264
2026-01-11 00:00:00+00:00,0.2244
2026-01-12 00:00:00+00:00,0.2193
2026-01-13 00:00:00+00:00,0.2386
2026-01-14 00:00:00+00:00,0.2361
2026-01-15 00:00:00+00:00,0.2285
2026-01-16 00:00:00+00:00,0.226
2026-01-17 00:00:00+00:00,0.2309
2026-01-18 00:00:00+00:00,0.2182
2026-01-19 00:00:00+00:00,0.2157
2026-01-20 00:00:00+00:00,0.2152
