date,QNT/USDT
2025-11-13 00:00:00+00:00,90.81
2025-11-14 00:00:00+00:00,81.23
2025-11-15 00:00:00+00:00,83.94
2025-11-16 00:00:00+00:00,81.8
2025-11-17 00:00:00+00:00,79.48
2025-11-18 00:00:00+00:00,81.34
2025-11-19 00:00:00+00:00,77.34
2025-11-20 00:00:00+00:00,74.82
2025-11-21 00:00:00+00:00,71.59
2025-11-22 00:00:00+00:00,74.21
2025-11-23 00:00:00+00:00,77.81
2025-11-24 00:00:00+00:00,79.14
2025-11-25 00:00:00+00:00,88.53
2025-11-26 00:00:00+00:00,84.6
2025-11-27 00:00:00+00:00,83.42
2025-11-28 00:00:00+00:00,93.74
2025-11-29 00:00:00+00:00,95.47
2025-11-30 00:00:00+00:00,101.85
2025-12-01 00:00:00+00:00,101.01
2025-12-02 00:00:00+00:00,97.06
2025-12-03 00:00:00+00:00,94.86
2025-12-04 00:00:00+00:00,93.05
2025-12-05 00:00:00+00:00,90.38
2025-12-06 00:00:00+00:00,89.73
2025-12-07 00:00:00+00:00,87.42
2025-12-08 00:00:00+00:00,88.55
2025-12-09 00:00:00+00:00,87.49
2025-12-10 00:00:00+00:00,84.1
2025-12-11 00:00:00+00:00,80.68
2025-12-12 00:00:00+00:00,81.91
2025-12-13 00:00:00+00:00,80.58
2025-12-14 00:00:00+00:00,76.83
2025-12-15 00:00:00+00:00,75.31
2025-12-16 00:00:00+00:00,78.3
2025-12-17 00:00:00+00:00,74.65
2025-12-18 00:00:00+00:00,72.19
2025-12-19 00:00:00+00:00,74.29
2025-12-20 00:00:00+00:00,75.6
2025-12-21 00:00:00+00:00,77.11
2025-12-22 00:00:00+00:00,74.98
2025-12-23 00:00:00+00:00,75.31
2025-12-24 00:00:00+00:00,73.81
2025-12-25 00:00:00+00:00,72.33
2025-12-26 00:00:00+00:00,72.26
2025-12-27 00:00:00+00:00,74.71
2025-12-28 00:00:00+00:00,73.18
2025-12-29 00:00:00+00:00,70.65
2025-12-30 00:00:00+00:00,70.31
2025-12-31 00:00:00+00:00,69.5
2026-01-01 00:00:00+00:00,75.68
2026-01-02 00:00:00+00:00,79.19
2026-01-03 00:00:00+00:00,79.4
