date,STRK/USDT
2025-12-13 00:00:00+00:00,0.106
2025-12-14 00:00:00+00:00,0.1033
2025-12-15 00:00:00+00:00,0.0983
2025-12-16 00:00:00+00:00,0.0955
2025-12-17 00:00:00+00:00,0.0877
2025-12-18 00:00:00+00:00,0.0804
2025-12-19 00:00:00+00:00,0.0837
2025-12-20 00:00:00+00:00,0.0824
2025-12-21 00:00:00+00:00,0.0799
2025-12-22 00:00:00+00:00,0.0788
2025-12-23 00:00:00+00:00,0.0798
2025-12-24 00:00:00+00:00,0.0816
2025-12-25 00:00:00+00:00,0.0779
2025-12-26 00:00:00+00:00,0.0798
2025-12-27 00:00:00+00:00,0.0848
2025-12-28 00:00:00+00:00,0.0819
2025-12-29 00:00:00+00:00,0.0802
2025-12-30 00:00:00+00:00,0.0791
2025-12-31 00:00:00+00:00,0.0792
2026-01-01 00:00:00+00:00,0.0824
2026-01-02 00:00:00+00:00,0.0863
2026-01-03 00:00:00+00:00,0.0862
2026-01-04 00:00:00+00:00,0.0903
2026-01-05 00:00:00+00:00,0.0906
2026-01-06 00:00:00+00:00,0.0926
2026-01-07 00:00:00+00:00,0.0874
2026-01-08 00:00:00+00:00,0.0843
2026-01-09 00:00:00+00:00,0.0839
2026-01-10 00:00:00+00:00,0.0817
2026-01-11 00:00:00+00:00,0.0816
2026-01-12 00:00:00+00:00,0.0809
2026-01-13 00:00:00+00:00,0.0876
2026-01-14 00:00:00+00:00,0.0888
2026-01-15 00:00:00+00:00,0.0842
2026-01-16 00:00:00+00:00,0.085
2026-01-17 00:00:00+00:00,0.0845
2026-01-18 00:00:00+00:00,0.0827
2026-01-19 00:00:00+00:00,0.082
2026-01-20 00:00:00+00:00,0.0816
