date,PHA/USDT
2025-11-16 00:00:00+00:00,0.0508
2025-11-17 00:00:00+00:00,0.0511
2025-11-18 00:00:00+00:00,0.0506
2025-11-19 00:00:00+00:00,0.0504
2025-11-20 00:00:00+00:00,0.049
2025-11-21 00:00:00+00:00,0.045
2025-11-22 00:00:00+00:00,0.0447
2025-11-23 00:00:00+00:00,0.0454
2025-11-24 00:00:00+00:00,0.0456
2025-11-25 00:00:00+00:00,0.0485
2025-11-26 00:00:00+00:00,0.0474
2025-11-27 00:00:00+00:00,0.0466
2025-11-28 00:00:00+00:00,0.0456
2025-11-29 00:00:00+00:00,0.0467
2025-11-30 00:00:00+00:00,0.0472
2025-12-01 00:00:00+00:00,0.0421
2025-12-02 00:00:00+00:00,0.0426
2025-12-03 00:00:00+00:00,0.0433
2025-12-04 00:00:00+00:00,0.0412
2025-12-05 00:00:00+00:00,0.0402
2025-12-06 00:00:00+00:00,0.0408
2025-12-07 00:00:00+00:00,0.0409
2025-12-08 00:00:00+00:00,0.0445
2025-12-09 00:00:00+00:00,0.045
2025-12-10 00:00:00+00:00,0.0426
2025-12-11 00:00:00+00:00,0.0434
2025-12-12 00:00:00+00:00,0.0409
2025-12-13 00:00:00+00:00,0.0415
2025-12-14 00:00:00+00:00,0.039
2025-12-15 00:00:00+00:00,0.0375
2025-12-16 00:00:00+00:00,0.0375
2025-12-17 00:00:00+00:00,0.0349
2025-12-18 00:00:00+00:00,0.0331
2025-12-19 00:00:00+00:00,0.0358
2025-12-20 00:00:00+00:00,0.0361
2025-12-21 00:00:00+00:00,0.035
2025-12-22 00:00:00+00:00,0.0347
2025-12-23 00:00:00+00:00,0.0351
2025-12-24 00:00:00+00:00,0.0351
2025-12-25 00:00:00+00:00,0.034
2025-12-26 00:00:00+00:00,0.0354
2025-12-27 00:00:00+00:00,0.0378
2025-12-28 00:00:00+00:00,0.0368
2025-12-29 00:00:00+00:00,0.0359
2025-12-30 00:00:00+00:00,0.0358
2025-12-31 00:00:00+00:00,0.0357
2026-01-01 00:00:00+00:00,0.0378
2026-01-02 00:00:00+00:00,0.0386
2026-01-03 00:00:00+00:00,0.0386
2026-01-04 00:00:00+00:00,0.0396
2026-01-05 00:00:00+00:00,0.0408
2026-01-06 00:00:00+00:00,0.0417
2026-01-07 00:00:00+00:00,0.0404
2026-01-08 00:00:00+00:00,0.0389
2026-01-09 00:00:00+00:00,0.039
2026-01-10 00:00:00+00:00,0.0388
2026-01-11 00:00:00+00:00,0.0384
2026-01-12 00:00:00+00:00,0.0379
2026-01-13 00:00:00+00:00,0.0404
2026-01-14 00:00:00+00:00,0.0401
2026-01-15 00:00:00+00:00,0.0386
2026-01-16 00:00:00+00:00,0.0398
2026-01-17 00:00:00+00:00,0.0402
2026-01-18 00:00:00+00:00,0.0391
2026-01-19 00:00:00+00:00,0.0407
2026-01-20 00:00:00+00:00,0.0406
